Karma,score,author
34,0,GallowsHall
34,0,GallowsHall
739,0,MiningMarsh
733,0,The_Sloth_Racer
496,0,CavemanJamess
367,0,stayfi
1,0,nan
733,0,The_Sloth_Racer
733,0,The_Sloth_Racer
25696,1,aarspar
150,0,MrCodyGrace
45,0,vagabonking
1955,0,JupiterDelta
1,1,nan
1442,0,H-banGG
594,0,InfamousArkansauce
15131,1,KirillSE
11893,0,anthony1x6000
72642,0,afmachado
150,0,Yarno98
23904,0,morty_sucks
9453,0,widdershins13
5974,0,EggShellEmotions
23904,1,morty_sucks
46,0,DarkOugi
1601,0,Lethalbroccoli
150,0,MrCodyGrace
23904,0,morty_sucks
224,1,LieutenantDanDan69
146,0,bmorefunyall
46,0,DarkOugi
1057,0,coilmast
1570,0,claudybunni
4553,1,SteadyEddie69
1570,1,claudybunni
42,0,Informal_Thought
505,0,Marrsvolta
1,0,nan
452,0,pkincy
1204,0,bejito81
9,1,YoCmonCmon
9,1,YoCmonCmon
9,1,YoCmonCmon
1,0,nan
598,0,Bimmer525i
598,0,Bimmer525i
598,0,Bimmer525i
6668,0,graywolf0026
713,0,Nappimato
1,0,nan
690,1,C1an0t
829,1,jannjul
829,0,jannjul
829,0,jannjul
6668,1,graywolf0026
690,1,C1an0t
18795,1,ExdigguserPies
